number,suit,left,right
W658,233000311,True,True
W659,233000131,True,True
W660,023223100,True,True
W661,023222200,True,True
W662,022441000,True,True
W663,022431100,True,True
W664,022422100,True,True
W665,022412110,True,True
W666,022411111,True,True
W667,022341100,True,True
W668,022332100,True,True
W669,022331110,True,True
W670,022322200,True,True
W671,022322110,True,True
W672,022314100,True,True
W673,022312210,True,True
W674,022311211,True,True
W675,223111111,True,True
W676,022242100,True,True
W677,022241110,True,True
W678,022233100,True,True
W679,022232110,True,True
W680,022231120,True,True
W681,022231111,True,True
W682,022224100,True,True
W683,022223110,True,True
W684,022222210,True,True
W685,022221310,True,True
W686,022221211,True,True
W687,222211111,True,True
W688,022220311,True,True
W689,022220131,True,True
W690,222200311,True,True
W691,222200131,True,True
W692,022214110,True,True
W693,022213111,True,True
W694,022212220,True,True
W695,022211410,True,True
W696,022211221,True,True
W697,222111211,True,True
W698,021441100,True,True
W699,021411211,True,True
W700,214111111,True,True
W701,021234100,True,True
W702,021233110,True,True
W703,021232210,True,True
W704,021232111,True,True
W705,021224110,True,True
W706,021222211,True,True
W707,212221111,True,True
W708,212211211,True,True
W709,021141211,True,True
W710,211411111,True,True
W711,021111241,True,True
W712,211112221,True,True
W713,211111411,True,True
W714,014431000,True,True
W715,014421100,True,True
W716,014411110,True,True
W717,014341000,True,True
W718,014331100,True,True
W719,014322100,True,True
W720,014321110,True,True
W721,014312110,True,True
W722,014311111,True,True
W723,014241100,True,True
W724,014232100,True,True
W725,014231110,True,True
W726,014223100,True,True
W727,014222110,True,True
W728,014221111,True,True
W729,014214100,True,True
W730,014213110,True,True
W731,014212210,True,True
W732,014212111,True,True
W733,014211310,True,True
W734,014211211,True,True
W735,142111111,True,True
W736,014210311,True,True
W737,014210131,True,True
W738,142100311,True,True
W739,142100131,True,True
W740,014141110,True,True
W741,014122210,True,True
W742,014121211,True,True
W743,141211111,True,True
W744,014114110,True,True
W745,014113111,True,True
W746,014111410,True,True
W747,014111221,True,True
W748,141111211,True,True
W749,013431100,True,True
W750,013412110,True,True
W751,013411111,True,True
W752,013341100,True,True
W753,013332100,True,True
W754,013331110,True,True
W755,013322110,True,True
W756,013321111,True,True
W757,013242100,True,True
W758,013241110,True,True
W759,013223110,True,True
W760,013222210,True,True
W761,013222111,True,True
W762,013214110,True,True
W763,132111211,True,True
W764,013131211,True,True
W765,131311111,True,True
W766,013114210,True,True
W767,013112221,True,True
W768,013111411,True,True
W769,131031211,True,True
W770,013101421,True,True
W771,131011411,True,True
W772,131001421,True,True
W773,012441100,True,True
W774,012432100,True,True
W775,012422110,True,True
W776,012421111,True,True
W777,012413110,True,True
W778,012411211,True,True
W779,124111111,True,True
W780,012410311,True,True
W781,124100311,True,True
W782,012341110,True,True
W783,012332110,True,True
W784,012323110,True,True
W785,012322210,True,True
W786,012322111,True,True
W787,012321211,True,True
W788,123211111,True,True
W789,012242110,True,True
W790,012241111,True,True
W791,012232210,True,True
W792,012231211,True,True
W793,122311111,True,True
W794,012224110,True,True
W795,012223111,True,True
W796,012222211,True,True
W797,012221311,True,True
W798,012221221,True,True
W799,122212111,True,True
W800,122211211,True,True
W801,012214111,True,True
W802,122121211,True,True
W803,012211411,True,True
W804,122113111,True,True
W805,122111221,True,True
W806,011441110,True,True
W807,011432110,True,True
W808,011431111,True,True
W809,011423110,True,True
W810,011422111,True,True
W811,011421211,True,True
W812,114211111,True,True
W813,011414110,True,True
W814,011413111,True,True
W815,011411311,True,True
W816,114112111,True,True
W817,114111211,True,True
W818,114110311,True,True
W819,011342110,True,True
W820,011341111,True,True
W821,011333110,True,True
W822,011331211,True,True
W823,113311111,True,True
W824,011323111,True,True
W825,011322211,True,True
W826,113221111,True,True
W827,011314111,True,True
W828,113031211,True,True
W829,011242111,True,True
W830,011241211,True,True
W831,112411111,True,True
W832,011232211,True,True
W833,112321111,True,True
W834,112311211,True,True
W835,011224111,True,True
W836,112222111,True,True
W837,112221211,True,True
W838,112141111,True,True
W839,112131211,True,True
W840,112123111,True,True
W841,112114111,True,True
W842,011143111,True,True
W843,111412111,True,True
W844,111322111,True,True
W845,111313111,True,True
W846,111241111,True,True
